ID,GEO_POINT_2D,GEO_SHAPE,NAME,ETICHETTA,NOTETESTO,NUMEROANTICO,NUMEROMODERNO,LINK1,LINK2,LINK3,PIANI,ARCATE,ARCHITRAVATE,ARCHITRAVATE_CON_COLONNE_DI_LEGNO,ARCHIVOLTI,MODIGLIONI,MENSOLONI_ARCHITRAVATI,STALLA_E,FIENILE_I,RIMESSA_E,SCUDERIA_E,ATTIVITA_COMMERCIALI_PRODUTTIVE_1,ATTIVITA_COMMERCIALI_PRODUTTIVE_2,ATTIVITA_COMMERCIALI_PRODUTTIVE_3,ATTIVITA_COMMERCIALI_PRODUTTIVE_4,ATTIVITA_COMMERCIALI_PRODUTTIVE_5
275,"44.4947446063, 11.3540602704","{""type"": ""Polygon"", ""coordinates"": [[[11.354139, 44.494689, 0], [11.354176, 44.494785, 0], [11.354064, 44.494804, 0], [11.35405, 44.494771, 0], [11.35396, 44.49479, 0], [11.353937, 44.494711, 0], [11.354139, 44.494689, 0]]]}",-,Casa,-,3234,4,http://www.originebologna.com/strade/gattamarza/n-3234,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-
276,"44.4916779473, 11.3391967027","{""type"": ""Polygon"", ""coordinates"": [[[11.339131, 44.491793, 0], [11.339061, 44.491625, 0], [11.339295, 44.491574, 0], [11.339331, 44.491687, 0], [11.339252, 44.491704, 0], [11.339277, 44.49176, 0], [11.339131, 44.491793, 0]]]}",Casa Foresti,Casa,-,"532/2,1345","7 di via Barberia, 4 di vicolo Gangaiolo",http://www.originebologna.com/strade/gangaiolo-di-barberia/n-1345,-,-,1,-,-,-,-,-,-,-,-,-,-,Falegname,-,-,-,-
277,"44.499613292, 11.342368393","{""type"": ""Polygon"", ""coordinates"": [[[11.342558, 44.499594, 0], [11.342579, 44.499626, 0], [11.342424, 44.499656, 0], [11.342414, 44.499631, 0], [11.342387, 44.499635, 0], [11.342382, 44.499613, 0], [11.342322, 44.499631, 0], [11.34233, 44.499643, 0], [11.342346, 44.499639, 0], [11.34236, 44.499669, 0], [11.342219, 44.499697, 0], [11.34221, 44.499669, 0], [11.342186, 44.499675, 0], [11.342159, 44.499609, 0], [11.342524, 44.499531, 0], [11.342558, 44.499594, 0]]]}",-,Casa,-,575,24,http://www.originebologna.com/strade/galliera/n-575,-,-,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
278,"44.4999665267, 11.3424884572","{""type"": ""Polygon"", ""coordinates"": [[[11.342756, 44.499958, 0], [11.34254, 44.500005, 0], [11.342455, 44.500024, 0], [11.342271, 44.500055, 0], [11.342216, 44.49995, 0], [11.342271, 44.49994, 0], [11.342289, 44.499969, 0], [11.342709, 44.499872, 0], [11.342756, 44.499958, 0]]]}",-,Casa,-,572,30,http://www.originebologna.com/strade/galliera/n-572,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
279,"44.5003527364, 11.3426423028","{""type"": ""Polygon"", ""coordinates"": [[[11.342862, 44.500149, 0], [11.342971, 44.500388, 0], [11.342254, 44.500521, 0], [11.342214, 44.500413, 0], [11.342661, 44.500325, 0], [11.342609, 44.500207, 0], [11.342862, 44.500149, 0]]]}",Casa Alessandri,Casa,-,"570,931","34 via Galliera, 2, 4 via Strazzacappe",http://www.originebologna.com/strade/galliera/n-570,-,-,2,7,-,-,-,-,-,-,-,-,-,Barbiere,-,-,-,-
280,"44.5009222415, 11.3427864293","{""type"": ""Polygon"", ""coordinates"": [[[11.343203, 44.500941, 0], [11.34283, 44.500972, 0], [11.342609, 44.50099, 0], [11.342605, 44.500956, 0], [11.34256, 44.500956, 0], [11.342556, 44.500872, 0], [11.342602, 44.50087, 0], [11.342601, 44.500837, 0], [11.342737, 44.500827, 0], [11.342751, 44.500935, 0], [11.342922, 44.500925, 0], [11.343187, 44.500904, 0], [11.343203, 44.500941, 0]]]}",-,Casa,-,565,44,http://www.originebologna.com/strade/galliera/n-565,-,-,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
281,"44.5007521376, 11.3435144325","{""type"": ""Polygon"", ""coordinates"": [[[11.343244, 44.500759, 0], [11.343897, 44.500612, 0], [11.343906, 44.500638, 0], [11.343934, 44.500632, 0], [11.343938, 44.500647, 0], [11.343541, 44.500736, 0], [11.343558, 44.500775, 0], [11.343635, 44.50076, 0], [11.343647, 44.500797, 0], [11.343294, 44.500876, 0], [11.343244, 44.500759, 0]]]}",-,Casa,-,510,63,http://www.originebologna.com/strade/galliera/n-510,-,-,1,3,-,-,-,-,-,-,-,-,-,Bottega,-,-,-,-
282,"44.4883680353, 11.3541841374","{""type"": ""Polygon"", ""coordinates"": [[[11.354296, 44.488355, 0], [11.354102, 44.488426, 0], [11.354067, 44.488386, 0], [11.354266, 44.488308, 0], [11.354296, 44.488355, 0]]]}",-,Casa,-,371,55,http://www.originebologna.com/strade/fondazza/n-371,-,-,1,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-
222,"44.4980290781, 11.3398710633","{""type"": ""Polygon"", ""coordinates"": [[[11.339969, 44.497952, 0], [11.340007, 44.497944, 0], [11.340051, 44.498072, 0], [11.339905, 44.498089, 0], [11.339855, 44.498086, 0], [11.339713, 44.498106, 0], [11.339691, 44.497996, 0], [11.339887, 44.497964, 0], [11.339969, 44.497952, 0]]]}",-,Casa,-,751,25 via N.Sauro,http://www.originebologna.com/strade/poggiale-via-del/n-751,-,-,1,-,-,-,-,-,-,-,-,-,-,Osteria Benacci,-,-,-,-
223,"44.4983622912, 11.3398412126","{""type"": ""Polygon"", ""coordinates"": [[[11.339802, 44.498457, 0], [11.339778, 44.498312, 0], [11.339922, 44.498293, 0], [11.339929, 44.498329, 0], [11.339885, 44.498332, 0], [11.3399, 44.49838, 0], [11.339848, 44.498388, 0], [11.33986, 44.498445, 0], [11.339802, 44.498457, 0]]]}",-,Casa,-,732/2,29,http://www.originebologna.com/strade/poggiale-via-del/n-732,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
224,"44.4984859576, 11.3395995502","{""type"": ""Polygon"", ""coordinates"": [[[11.339686, 44.498391, 0], [11.339712, 44.498543, 0], [11.339485, 44.498558, 0], [11.33947, 44.498469, 0], [11.339547, 44.498461, 0], [11.33954, 44.498426, 0], [11.339686, 44.498391, 0]]]}",Casa Mutti,Casa,-,726,36,http://www.originebologna.com/strade/poggiale-via-del/n-725-726-727,-,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
225,"44.4982368392, 11.3393924278","{""type"": ""Polygon"", ""coordinates"": [[[11.339626, 44.498127, 0], [11.339658, 44.498255, 0], [11.339491, 44.498292, 0], [11.339468, 44.498246, 0], [11.339421, 44.49826, 0], [11.339406, 44.498224, 0], [11.339271, 44.498253, 0], [11.339307, 44.498333, 0], [11.339165, 44.498365, 0], [11.33911, 44.498237, 0], [11.33941, 44.498172, 0], [11.339474, 44.498156, 0], [11.339626, 44.498127, 0]]]}",-,Casa,-,723,30,http://www.originebologna.com/strade/poggiale-via-del/n-722-723,-,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
226,"44.4963863024, 11.3391499023","{""type"": ""Polygon"", ""coordinates"": [[[11.339078, 44.496301, 0], [11.339204, 44.496285, 0], [11.339245, 44.496462, 0], [11.339126, 44.496485, 0], [11.339107, 44.496431, 0], [11.339074, 44.496433, 0], [11.339068, 44.496415, 0], [11.339012, 44.496423, 0], [11.339005, 44.496396, 0], [11.339102, 44.496382, 0], [11.339078, 44.496301, 0]]]}",-,Casa,-,713,10,http://www.originebologna.com/strade/poggiale-via-del/n-713,-,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
227,"44.4960003136, 11.3389957552","{""type"": ""Polygon"", ""coordinates"": [[[11.338853, 44.496082, 0], [11.338839, 44.49603, 0], [11.338897, 44.496018, 0], [11.338878, 44.495943, 0], [11.338919, 44.49594, 0], [11.33911, 44.495917, 0], [11.339138, 44.496044, 0], [11.338853, 44.496082, 0]]]}",-,Casa,-,"710,711",6,http://www.originebologna.com/strade/poggiale-via-del/n-710-711,-,-,2,5,-,-,-,-,-,1,-,-,-,-,-,-,-,-
228,"44.4903612744, 11.3450799714","{""type"": ""Polygon"", ""coordinates"": [[[11.344913, 44.490285, 0], [11.344962, 44.490279, 0], [11.344959, 44.490271, 0], [11.345039, 44.490256, 0], [11.345139, 44.490244, 0], [11.345168, 44.490373, 0], [11.34519, 44.490437, 0], [11.34521, 44.490492, 0], [11.345088, 44.49051, 0], [11.345078, 44.490465, 0], [11.345058, 44.490384, 0], [11.345051, 44.490347, 0], [11.344933, 44.490367, 0], [11.344913, 44.490285, 0]]]}",-,Casa,-,476,8 via Poeti,http://www.originebologna.com/strade/poeti-via-de/n-476,-,-,2,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-
229,"44.4946861739, 11.3447531094","{""type"": ""Polygon"", ""coordinates"": [[[11.344651, 44.494686, 0], [11.344844, 44.494654, 0], [11.344855, 44.494686, 0], [11.344721, 44.494709, 0], [11.344695, 44.494713, 0], [11.344663, 44.494718, 0], [11.344651, 44.494686, 0]]]}",-,Casa,-,-,-,http://www.originebologna.com/strade/pini-vicoli-dei/n-1753-1754,-,-,3,-,-,-,-,-,-,-,-,-,-,Bottega,-,-,-,-
230,"44.4924728952, 11.3422780069","{""type"": ""Polygon"", ""coordinates"": [[[11.342198, 44.492528, 0], [11.342181, 44.492442, 0], [11.342355, 44.492415, 0], [11.342374, 44.492507, 0], [11.342198, 44.492528, 0]]]}",-,Casa,-,"1205,1206","2,4",http://www.originebologna.com/strade/pignattari-via-dei/n-1208-1207-1206-1205,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
231,"44.4963125284, 11.3311690131","{""type"": ""Polygon"", ""coordinates"": [[[11.331342, 44.496289, 0], [11.331129, 44.496351, 0], [11.331118, 44.496335, 0], [11.331066, 44.496355, 0], [11.331079, 44.49637, 0], [11.331, 44.496393, 0], [11.330985, 44.49637, 0], [11.331012, 44.496358, 0], [11.330997, 44.496338, 0], [11.331188, 44.496283, 0], [11.331213, 44.496269, 0], [11.331311, 44.496238, 0], [11.331342, 44.496289, 0]]]}",-,Casa,-,983,53,http://www.originebologna.com/strade/pietralata/n-982-983,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
232,"44.4935504384, 11.3492665462","{""type"": ""Polygon"", ""coordinates"": [[[11.349261, 44.493469, 0], [11.349349, 44.493439, 0], [11.349435, 44.493578, 0], [11.349196, 44.493673, 0], [11.349105, 44.49348, 0], [11.349187, 44.493456, 0], [11.349228, 44.493515, 0], [11.349283, 44.493496, 0], [11.349261, 44.493469, 0]]]}",-,Casa,-,"935,936",3 vicolo Broglio,http://www.originebologna.com/strade/piazzetta-di-san-michele-dei-leprosetti/n-935-936,-,-,1,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-
233,"44.4910133653, 11.3476915074","{""type"": ""Polygon"", ""coordinates"": [[[11.347812, 44.490944, 0], [11.34784, 44.491022, 0], [11.34785, 44.49104, 0], [11.347618, 44.491081, 0], [11.347614, 44.491064, 0], [11.347653, 44.491061, 0], [11.347641, 44.491003, 0], [11.347536, 44.491022, 0], [11.347543, 44.491042, 0], [11.34747, 44.491056, 0], [11.347457, 44.491016, 0], [11.347611, 44.490986, 0], [11.347812, 44.490944, 0]]]}",Casa Prati,Casa,-,462,6,http://www.originebologna.com/strade/piazzetta-di-san-giovanni-in-monte/n-462,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
234,"44.493699812, 11.3445570598","{""type"": ""Polygon"", ""coordinates"": [[[11.344485, 44.493659, 0], [11.344585, 44.493639, 0], [11.344627, 44.493742, 0], [11.344532, 44.493761, 0], [11.344485, 44.493659, 0]]]}",Residenza dell'Arte dei Salaroli,Casa,-,1150,10,http://www.originebologna.com/strade/pescarie/residenza-dell-arte-dei-salaroli,-,-,3,-,-,-,-,-,-,-,-,-,-,Bottega,-,-,-,-
235,"44.4955001351, 11.351411491","{""type"": ""Polygon"", ""coordinates"": [[[11.351244, 44.495471, 0], [11.351314, 44.495409, 0], [11.351558, 44.495542, 0], [11.351593, 44.495566, 0], [11.35155, 44.495598, 0], [11.351421, 44.495529, 0], [11.351429, 44.495522, 0], [11.351373, 44.495495, 0], [11.351343, 44.495517, 0], [11.351244, 44.495471, 0]]]}",-,Casa,-,3041,21,http://www.originebologna.com/strade/pellacani-via-dei/n-3041,-,-,1,2,-,-,-,-,-,-,-,-,-,Barbiere,-,-,-,-
236,"44.4952438399, 11.3516306597","{""type"": ""Polygon"", ""coordinates"": [[[11.351618, 44.495127, 0], [11.351742, 44.495194, 0], [11.351673, 44.495254, 0], [11.351756, 44.495302, 0], [11.351699, 44.495357, 0], [11.351644, 44.495334, 0], [11.351483, 44.495255, 0], [11.35153, 44.495216, 0], [11.351618, 44.495127, 0]]]}",-,Casa,-,3037,15,http://www.originebologna.com/strade/pellacani-via-dei/n-3037,-,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
237,"44.4949909974, 11.3518533165","{""type"": ""Polygon"", ""coordinates"": [[[11.351884, 44.495035, 0], [11.351783, 44.494981, 0], [11.351822, 44.494946, 0], [11.351925, 44.495003, 0], [11.351884, 44.495035, 0]]]}",-,Casa,-,3033,-,http://www.originebologna.com/strade/pellacani-via-dei/n-3033,-,-,2,-,1,-,-,-,-,-,-,-,-,Ottico,-,-,-,-
238,"44.4958667733, 11.3506185133","{""type"": ""Polygon"", ""coordinates"": [[[11.350576, 44.495817, 0], [11.3507, 44.495882, 0], [11.350665, 44.495916, 0], [11.350537, 44.495854, 0], [11.350576, 44.495817, 0]]]}",-,Casa,-,3020/2,38,http://www.originebologna.com/strade/pellacani-via-dei/n-3020,-,-,3,-,-,-,-,-,-,-,-,-,-,Macelleria,-,-,-,-
239,"44.4993398829, 11.340778309","{""type"": ""Polygon"", ""coordinates"": [[[11.340853, 44.499399, 0], [11.340741, 44.499418, 0], [11.340703, 44.49928, 0], [11.340817, 44.499263, 0], [11.340853, 44.499399, 0]]]}",-,Casa,-,"1201, 1202","9/2, 11",http://www.originebologna.com/strade/paglia-dell-avesella/n-1201,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
240,"44.4929216606, 11.3532829138","{""type"": ""Polygon"", ""coordinates"": [[[11.353182, 44.492831, 0], [11.353222, 44.492876, 0], [11.353274, 44.492856, 0], [11.353316, 44.492906, 0], [11.353478, 44.492871, 0], [11.353497, 44.49291, 0], [11.353265, 44.492984, 0], [11.353195, 44.49302, 0], [11.353151, 44.492967, 0], [11.353202, 44.492942, 0], [11.35313, 44.492851, 0], [11.353182, 44.492831, 0]]]}",-,Casa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
241,"44.4899998929, 11.3454335585","{""type"": ""Polygon"", ""coordinates"": [[[11.345442, 44.490108, 0], [11.345445, 44.490085, 0], [11.345328, 44.490076, 0], [11.345331, 44.490014, 0], [11.345328, 44.489961, 0], [11.345365, 44.489964, 0], [11.345373, 44.489903, 0], [11.345427, 44.4899, 0], [11.34553, 44.489904, 0], [11.345507, 44.490112, 0], [11.345442, 44.490108, 0]]]}",-,Casa,-,484,3,http://www.originebologna.com/strade/orto-via-dell/n-484,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
242,"44.4939368881, 11.3440778457","{""type"": ""Polygon"", ""coordinates"": [[[11.34403, 44.493832, 0], [11.344062, 44.493817, 0], [11.344101, 44.493812, 0], [11.344108, 44.493834, 0], [11.344132, 44.493924, 0], [11.344115, 44.493927, 0], [11.34412, 44.493966, 0], [11.344143, 44.494047, 0], [11.344061, 44.494062, 0], [11.344042, 44.493956, 0], [11.344003, 44.49396, 0], [11.343995, 44.493933, 0], [11.344028, 44.493922, 0], [11.344017, 44.493889, 0], [11.344044, 44.49388, 0], [11.34403, 44.493832, 0]]]}",-,Casa,-,-,1,http://www.originebologna.com/strade/orefici-via-degli/descrizione-delle-case-di-via-orefici-a-destra-dalle-spaderia-al-vicolo-ranocchi,-,-,-,-,-,-,-,-,-,-,-,-,-,Orefice. Insegna del Nome di Gesu',Orefice. Insegna del Pellegrino,Orefice. Insegna del Toro d'oro,Orefice. Insegna de' tre Cocomeri,Orefice. Insegna dell'Agnello
243,"44.4893166637, 11.3481550578","{""type"": ""Polygon"", ""coordinates"": [[[11.348349, 44.489322, 0], [11.348268, 44.489416, 0], [11.348354, 44.48945, 0], [11.348459, 44.489407, 0], [11.348477, 44.489423, 0], [11.348351, 44.489487, 0], [11.348172, 44.489435, 0], [11.348121, 44.489489, 0], [11.348088, 44.489476, 0], [11.348138, 44.489425, 0], [11.347941, 44.489286, 0], [11.347917, 44.489262, 0], [11.347961, 44.489196, 0], [11.348007, 44.489219, 0], [11.348074, 44.489136, 0], [11.348247, 44.489224, 0], [11.348225, 44.48926, 0], [11.348349, 44.489322, 0]]]}",-,Casa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
244,"44.4938285324, 11.3450797579","{""type"": ""Polygon"", ""coordinates"": [[[11.345056, 44.493889, 0], [11.345016, 44.493784, 0], [11.345107, 44.493767, 0], [11.345118, 44.493806, 0], [11.345141, 44.493877, 0], [11.345056, 44.493889, 0]]]}",-,Casa,-,-,21,http://www.originebologna.com/strade/orefici-via-degli/descrizione-delle-case-di-via-orefici-a-destra-dal-il-vicolo-ranocchi-alle-caprarie,-,-,-,-,-,-,-,-,-,-,-,-,-,Tabaccaro,Macelleria,-,-,-
245,"44.4939028689, 11.3447310898","{""type"": ""Polygon"", ""coordinates"": [[[11.34469, 44.493947, 0], [11.344673, 44.4939, 0], [11.344717, 44.493891, 0], [11.344703, 44.493857, 0], [11.344756, 44.493849, 0], [11.344785, 44.493933, 0], [11.34469, 44.493947, 0]]]}",-,Casa,-,-,13,http://www.originebologna.com/strade/orefici-via-degli/descrizione-delle-case-di-via-orefici-a-destra-dal-il-vicolo-ranocchi-alle-caprarie,-,-,-,-,-,-,-,-,-,-,-,-,-,Orefice. Insegna del Mellone,Orefice. Insegna delle due Spade,-,-,-
246,"44.4979217812, 11.3391905438","{""type"": ""Polygon"", ""coordinates"": [[[11.339265, 44.49788, 0], [11.339283, 44.497919, 0], [11.339112, 44.497963, 0], [11.339098, 44.497926, 0], [11.339265, 44.49788, 0]]]}",Casa Comastri,Casa,-,1456,-,http://www.originebologna.com/strade/orbaga/n-1453-1453-1455-1456,-,-,1,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
247,"44.4916831024, 11.3347927776","{""type"": ""Polygon"", ""coordinates"": [[[11.334948, 44.491626, 0], [11.334974, 44.491671, 0], [11.334637, 44.49174, 0], [11.334617, 44.491689, 0], [11.334741, 44.491665, 0], [11.334756, 44.491696, 0], [11.334807, 44.491685, 0], [11.334794, 44.491657, 0], [11.334948, 44.491626, 0]]]}",-,Casa,-,653,41,http://www.originebologna.com/strade/nosadella/n-653-652-651,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
248,"44.4909579119, 11.334984427","{""type"": ""Polygon"", ""coordinates"": [[[11.33479, 44.491056, 0], [11.334748, 44.490942, 0], [11.335092, 44.490889, 0], [11.335078, 44.490836, 0], [11.335149, 44.490824, 0], [11.335196, 44.490989, 0], [11.33479, 44.491056, 0]]]}",-,Casa,Porta,643,40,http://www.originebologna.com/strade/nosadella/n-643,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
249,"44.4914311801, 11.3352185523","{""type"": ""Polygon"", ""coordinates"": [[[11.334997, 44.491544, 0], [11.334923, 44.491413, 0], [11.335332, 44.491344, 0], [11.335486, 44.491307, 0], [11.335489, 44.491321, 0], [11.335455, 44.491336, 0], [11.335461, 44.491362, 0], [11.335486, 44.491449, 0], [11.335491, 44.491462, 0], [11.335317, 44.491492, 0], [11.33528, 44.491395, 0], [11.33527, 44.491362, 0], [11.335123, 44.49139, 0], [11.335135, 44.491424, 0], [11.335171, 44.491516, 0], [11.334997, 44.491544, 0]]]}",-,Casa,-,637,32,http://www.originebologna.com/strade/nosadella/n-637,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
250,"44.4917085465, 11.33524724","{""type"": ""Polygon"", ""coordinates"": [[[11.335131, 44.491769, 0], [11.335092, 44.491698, 0], [11.335406, 44.491649, 0], [11.33542, 44.491683, 0], [11.335343, 44.491698, 0], [11.335356, 44.491732, 0], [11.335305, 44.491739, 0], [11.335131, 44.491769, 0]]]}",-,Casa,-,635,28,http://www.originebologna.com/strade/nosadella/n-635-636,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
251,"44.4869346542, 11.3407096814","{""type"": ""Polygon"", ""coordinates"": [[[11.34059, 44.486877, 0], [11.340828, 44.486842, 0], [11.340846, 44.486932, 0], [11.340728, 44.486948, 0], [11.340736, 44.486983, 0], [11.340757, 44.486981, 0], [11.340773, 44.487042, 0], [11.340738, 44.487044, 0], [11.340734, 44.48703, 0], [11.340637, 44.487041, 0], [11.340628, 44.487011, 0], [11.340624, 44.486991, 0], [11.3406, 44.486936, 0], [11.34059, 44.486877, 0]]]}",-,Casa,-,"892,893,894",2,http://www.originebologna.com/strade/mirasole-di-sopra/n-894,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
252,"44.4878387541, 11.3417086741","{""type"": ""Polygon"", ""coordinates"": [[[11.341726, 44.48799, 0], [11.341701, 44.487928, 0], [11.341732, 44.487922, 0], [11.341699, 44.487849, 0], [11.341673, 44.487855, 0], [11.341618, 44.487723, 0], [11.341592, 44.487672, 0], [11.341615, 44.487666, 0], [11.341638, 44.487719, 0], [11.341697, 44.487709, 0], [11.341725, 44.487776, 0], [11.341677, 44.487786, 0], [11.341681, 44.487803, 0], [11.341733, 44.487792, 0], [11.341807, 44.487974, 0], [11.341726, 44.48799, 0]]]}",-,Casa,-,809,15,http://www.originebologna.com/strade/mirasol-grande/n-809,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
253,"44.491671839, 11.3474764369","{""type"": ""Polygon"", ""coordinates"": [[[11.347396, 44.491527, 0], [11.34747, 44.491519, 0], [11.347496, 44.491645, 0], [11.347572, 44.491694, 0], [11.347506, 44.491739, 0], [11.34761, 44.491823, 0], [11.347583, 44.491842, 0], [11.347544, 44.491813, 0], [11.347426, 44.491722, 0], [11.347379, 44.491676, 0], [11.347429, 44.491655, 0], [11.347417, 44.491617, 0], [11.347395, 44.491535, 0], [11.347396, 44.491527, 0]]]}",-,Casa,-,1076,28,http://www.originebologna.com/strade/miola/n-1076,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
254,"44.4916240948, 11.3479547965","{""type"": ""Polygon"", ""coordinates"": [[[11.348012, 44.49177, 0], [11.347846, 44.491606, 0], [11.347928, 44.491573, 0], [11.347867, 44.491497, 0], [11.347767, 44.491532, 0], [11.347738, 44.491505, 0], [11.347923, 44.491484, 0], [11.348037, 44.491609, 0], [11.348, 44.491627, 0], [11.348098, 44.491716, 0], [11.348012, 44.49177, 0]]]}",-,Casa,-,1074,-,http://www.originebologna.com/strade/miola/n-1074,-,-,2,2,-,-,-,-,-,-,-,-,-,Falegname,Caffe' d'Apollo,-,-,-
255,"44.49150301, 11.3481016199","{""type"": ""Polygon"", ""coordinates"": [[[11.348271, 44.491434, 0], [11.348296, 44.491487, 0], [11.348198, 44.491514, 0], [11.348105, 44.491531, 0], [11.348056, 44.49155, 0], [11.348087, 44.491588, 0], [11.348037, 44.491609, 0], [11.347923, 44.491484, 0], [11.348271, 44.491434, 0]]]}",-,Casa,-,1073,30,http://www.originebologna.com/strade/miola/n-1073,-,-,1,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-
256,"44.4913097141, 11.3469808653","{""type"": ""Polygon"", ""coordinates"": [[[11.346751, 44.491443, 0], [11.346755, 44.49138, 0], [11.346758, 44.491255, 0], [11.346835, 44.491253, 0], [11.346837, 44.491345, 0], [11.346977, 44.49134, 0], [11.346977, 44.49125, 0], [11.347032, 44.49125, 0], [11.347022, 44.491075, 0], [11.347112, 44.491064, 0], [11.347122, 44.491086, 0], [11.34713, 44.491123, 0], [11.347143, 44.491223, 0], [11.347104, 44.491227, 0], [11.347116, 44.491361, 0], [11.347156, 44.491361, 0], [11.347151, 44.491432, 0], [11.346751, 44.491443, 0]]]}",Casa Tacconi,Casa,-,1063,21,http://www.originebologna.com/strade/miola/n-1063,-,-,2,7,-,-,-,-,-,-,-,-,-,Merciaro,Droghiere,Farmacia,Bottega,-
257,"44.494526544, 11.3456973472","{""type"": ""Polygon"", ""coordinates"": [[[11.345682, 44.494612, 0], [11.34565, 44.494561, 0], [11.345675, 44.494557, 0], [11.345662, 44.494522, 0], [11.345641, 44.494529, 0], [11.345607, 44.494461, 0], [11.34571, 44.494439, 0], [11.345749, 44.494535, 0], [11.345764, 44.494528, 0], [11.345782, 44.494593, 0], [11.345682, 44.494612, 0]]]}",-,Casa,-,74,32,http://www.originebologna.com/strade/mercato-di-mezzo/n-74,-,-,4,-,-,-,-,-,-,-,-,-,-,Calzolaio,Prenditoria de' lotti,Ottonaro,-,-
258,"44.4944449436, 11.3460370926","{""type"": ""Polygon"", ""coordinates"": [[[11.346011, 44.494516, 0], [11.34596, 44.494395, 0], [11.346063, 44.494374, 0], [11.346114, 44.494493, 0], [11.346085, 44.494501, 0], [11.346011, 44.494516, 0]]]}",-,Casa,-,73,36,http://www.originebologna.com/strade/mercato-di-mezzo/n-73,-,-,3,-,-,-,-,-,-,-,-,-,-,Guantaro,-,-,-,-
259,"44.4944466601, 11.3461538803","{""type"": ""Polygon"", ""coordinates"": [[[11.346114, 44.494493, 0], [11.346063, 44.494374, 0], [11.346157, 44.494355, 0], [11.346207, 44.494477, 0], [11.346231, 44.494472, 0], [11.346243, 44.494504, 0], [11.346252, 44.494529, 0], [11.346179, 44.494541, 0], [11.346153, 44.494485, 0], [11.346114, 44.494493, 0]]]}",-,Casa,-,73,38,http://www.originebologna.com/strade/mercato-di-mezzo/n-73,-,-,3,-,-,-,-,-,-,-,-,-,-,Orologiaro,-,-,-,-
260,"44.4959321533, 11.3469814238","{""type"": ""Polygon"", ""coordinates"": [[[11.34687, 44.495909, 0], [11.346959, 44.495891, 0], [11.347027, 44.495877, 0], [11.34708, 44.495986, 0], [11.347012, 44.495992, 0], [11.346989, 44.495948, 0], [11.346885, 44.495958, 0], [11.34687, 44.495909, 0]]]}",-,Casa,-,2649,-,http://www.originebologna.com/strade/inferno-via-dell/n-2649,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
261,"44.4960210721, 11.3470146778","{""type"": ""Polygon"", ""coordinates"": [[[11.3469, 44.495998, 0], [11.347012, 44.495992, 0], [11.34708, 44.495986, 0], [11.347134, 44.495982, 0], [11.347144, 44.496013, 0], [11.347088, 44.496019, 0], [11.347099, 44.496051, 0], [11.346919, 44.496061, 0], [11.3469, 44.495998, 0]]]}",-,Casa,-,2648,3,http://www.originebologna.com/strade/inferno-via-dell/n-2648,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
262,"44.4956745996, 11.3467115942","{""type"": ""Polygon"", ""coordinates"": [[[11.346598, 44.49564, 0], [11.346747, 44.495597, 0], [11.3468, 44.49573, 0], [11.346719, 44.495759, 0], [11.346657, 44.495683, 0], [11.346628, 44.495681, 0], [11.346598, 44.49564, 0]]]}",-,Casa,-,"2637,2638","14,16",http://www.originebologna.com/strade/inferno-via-dell/n-2638,-,-,3,-,3,-,-,-,-,-,1,-,-,Bottega,-,-,-,-
