ID,GEO_POINT_2D,GEO_SHAPE,NAME,ETICHETTA,NOTETESTO,NUMEROANTICO,NUMEROMODERNO,LINK1,LINK2,LINK3,PIANI,ARCATE,ARCHITRAVATE,ARCHITRAVATE_CON_COLONNE_DI_LEGNO,ARCHIVOLTI,MODIGLIONI,MENSOLONI_ARCHITRAVATI,STALLA_E,FIENILE_I,RIMESSA_E,SCUDERIA_E,ATTIVITA_COMMERCIALI_PRODUTTIVE_1,ATTIVITA_COMMERCIALI_PRODUTTIVE_2,ATTIVITA_COMMERCIALI_PRODUTTIVE_3,ATTIVITA_COMMERCIALI_PRODUTTIVE_4,ATTIVITA_COMMERCIALI_PRODUTTIVE_5
12,"44.4881134297, 11.3477209353","{""type"": ""Polygon"", ""coordinates"": [[[11.347681, 44.488138, 0], [11.34769, 44.488083, 0], [11.347763, 44.488088, 0], [11.347748, 44.488146, 0], [11.347681, 44.488138, 0]]]}",-,Casa,"Il guidicini descrive il numero 716 che pero' non compare nel Breventani, ne' nell'Indicatore, ne' nel prontuario del Comune, per cui le notizie di quel numero vengono riportate sotto questo edificio.",717,1,http://www.originebologna.com/strade/via-del-cestello/n-716,http://www.originebologna.com/strade/via-del-cestello/n-717,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,"44.4896672189, 11.3546211106","{""type"": ""Polygon"", ""coordinates"": [[[11.354634, 44.48971, 0], [11.354581, 44.489642, 0], [11.354621, 44.489627, 0], [11.354657, 44.489705, 0], [11.354634, 44.48971, 0]]]}",-,Casa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,"44.4932465385, 11.347327685","{""type"": ""Polygon"", ""coordinates"": [[[11.347207, 44.493267, 0], [11.3473, 44.493174, 0], [11.347355, 44.49321, 0], [11.34738, 44.493188, 0], [11.347457, 44.49324, 0], [11.34748, 44.493266, 0], [11.347455, 44.493278, 0], [11.347418, 44.493246, 0], [11.347288, 44.49332, 0], [11.347207, 44.493267, 0]]]}",Casa Aria gia' Rodaldi,Casa,Casa Aria,"98 su Strada Santo Stefano, 979",10 su Strada Santo Stefano,http://www.originebologna.com/strade/via-del-luzzo/n-979,http://www.originebologna.com/strade/strada-santo-stefano-1/nn-97-98-10-12-case-dei-rodaldi,-,1,-,3,-,-,-,-,-,-,-,-,Bottega Sellaro,-,-,-,-
15,"44.490985838, 11.3462675904","{""type"": ""Polygon"", ""coordinates"": [[[11.34651, 44.490916, 0], [11.346487, 44.491085, 0], [11.346295, 44.491077, 0], [11.346305, 44.490993, 0], [11.346183, 44.490994, 0], [11.346173, 44.491077, 0], [11.346019, 44.491072, 0], [11.346028, 44.490895, 0], [11.34614, 44.490894, 0], [11.346152, 44.490895, 0], [11.346145, 44.490952, 0], [11.346228, 44.490956, 0], [11.346234, 44.490899, 0], [11.346338, 44.490898, 0], [11.346387, 44.490902, 0], [11.34651, 44.490916, 0]]]}",-,Casa,Portone e casa,378,13,http://www.originebologna.com/strade/strada-castiglione/n-375-376-377-378,http://www.originebologna.com/strade/strada-castiglione/n-377-378,-,1,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-
16,"44.4908491102, 11.3462817791","{""type"": ""Polygon"", ""coordinates"": [[[11.346028, 44.490895, 0], [11.346024, 44.490803, 0], [11.346163, 44.490796, 0], [11.346165, 44.490828, 0], [11.346251, 44.490825, 0], [11.346254, 44.490795, 0], [11.346341, 44.490793, 0], [11.346342, 44.490831, 0], [11.346391, 44.490832, 0], [11.346391, 44.490791, 0], [11.346523, 44.490793, 0], [11.34651, 44.490916, 0], [11.346387, 44.490902, 0], [11.346389, 44.490851, 0], [11.346341, 44.490849, 0], [11.346338, 44.490898, 0], [11.346179, 44.4909, 0], [11.346179, 44.490869, 0], [11.346141, 44.490869, 0], [11.34614, 44.490894, 0], [11.346028, 44.490895, 0]]]}",-,Casa,-,"376,377","7 sul vicolo di San Damiano,15,17 su Castiglione",http://www.originebologna.com/strade/strada-castiglione/n-375-376-377-378,http://www.originebologna.com/strade/strada-castiglione/n-377-378,-,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,"44.4940062488, 11.3383130169","{""type"": ""Polygon"", ""coordinates"": [[[11.338203, 44.494183, 0], [11.338178, 44.494086, 0], [11.338221, 44.494078, 0], [11.33821, 44.494043, 0], [11.338171, 44.494051, 0], [11.338143, 44.493972, 0], [11.338098, 44.493981, 0], [11.338111, 44.494015, 0], [11.338041, 44.494028, 0], [11.337982, 44.493906, 0], [11.338007, 44.493899, 0], [11.338127, 44.493875, 0], [11.33823, 44.493863, 0], [11.338238, 44.493883, 0], [11.338254, 44.493939, 0], [11.338298, 44.493935, 0], [11.338284, 44.493891, 0], [11.338325, 44.493884, 0], [11.338329, 44.493896, 0], [11.33851, 44.493863, 0], [11.33858, 44.494113, 0], [11.338203, 44.494183, 0]]]}","Casa Gigli, poi Fava",Casa,-,"1244,1174",13 (Cesare Battisti). 2 Via Porta Nova,http://www.originebologna.com/strade/barbaziana-via/n-1244,http://www.originebologna.com/strade/porta-nova/n-1174,-,1,7,-,-,-,-,-,-,-,-,-,Farmacia,Vendita mobili,Caffe',Staderaio,Tabaccaro
18,"44.4954623499, 11.3470101179","{""type"": ""Polygon"", ""coordinates"": [[[11.34688, 44.49545, 0], [11.34705, 44.495378, 0], [11.347136, 44.495475, 0], [11.347087, 44.495496, 0], [11.347041, 44.495519, 0], [11.346979, 44.495548, 0], [11.34694, 44.495508, 0], [11.34688, 44.49545, 0]]]}",-,Casa,-,2621,1/2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,"44.4974815641, 11.3396993414","{""type"": ""Polygon"", ""coordinates"": [[[11.339564, 44.497569, 0], [11.339548, 44.497442, 0], [11.339615, 44.497434, 0], [11.339857, 44.4974, 0], [11.339875, 44.497493, 0], [11.339811, 44.497498, 0], [11.339741, 44.497509, 0], [11.339751, 44.49755, 0], [11.339564, 44.497569, 0]]]}",Casa Oretti,Casa,-,"782,754","11 via San Giorgio, 19 via N.Sauro",http://www.originebologna.com/strade/via-larga-di-san-giorgio/n-782,http://www.originebologna.com/strade/poggiale-via-del/n-754,-,2,4,-,-,-,-,-,-,-,-,-,Treccolo,-,-,-,-
20,"44.4959465806, 11.3479988945","{""type"": ""Polygon"", ""coordinates"": [[[11.347881, 44.495923, 0], [11.347968, 44.495872, 0], [11.347981, 44.495895, 0], [11.348007, 44.495886, 0], [11.348016, 44.495901, 0], [11.34806, 44.495883, 0], [11.348126, 44.495963, 0], [11.347962, 44.496028, 0], [11.347881, 44.495923, 0]]]}",-,Casa,-,-,1/2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,"44.4937596405, 11.3448413419","{""type"": ""Polygon"", ""coordinates"": [[[11.344732, 44.493611, 0], [11.344839, 44.49359, 0], [11.344886, 44.493725, 0], [11.344815, 44.493737, 0], [11.344832, 44.493774, 0], [11.344863, 44.49377, 0], [11.344856, 44.493749, 0], [11.344894, 44.493746, 0], [11.344945, 44.493909, 0], [11.344836, 44.493925, 0], [11.344813, 44.493839, 0], [11.344791, 44.493755, 0], [11.344781, 44.493724, 0], [11.344732, 44.493611, 0]]]}",-,Casa,-,1148,"17 via Orefici, 14 via Pescherie Vecchie",http://www.originebologna.com/strade/pescarie/n-1148,http://www.originebologna.com/strade/orefici-via-degli/descrizione-delle-case-di-via-orefici-a-destra-dal-il-vicolo-ranocchi-alle-caprarie,-,4,-,-,-,-,-,-,-,-,-,-,Orefice. Insegna del Cannone,Orefice. Insegna di S. Gaetano,Bottega,Caffe' degli Orefici,-
