ID,GEO_POINT_2D,GEO_SHAPE,ENTE,CODICE,ORDINANZA,STATO,AREA,CODARCO1,NOMEVIA1,CODARCO2,NOMEVIA2,CODARCO3,NOMEVIA3,CODARCO4,NOMEVIA4,CODARCO5,NOMEVIA5,CODARCO6,NOMEVIA6,CODARCO7,NOMEVIA7,IIDD,TIPOZTL
48,"44.4931496726, 11.344338581","{""type"": ""MultiPolygon"", ""coordinates"": [[[[11.344491089793138, 44.49324645790702], [11.34465009525982, 44.49321842540699], [11.344596094507642, 44.49305642491961], [11.344572093694605, 44.49305842977365], [11.344571093699841, 44.49305242956975], [11.344332085472374, 44.49309347911182], [11.344159079521285, 44.49312351471039], [11.344005074238783, 44.49314854610708], [11.343804067341843, 44.49318258688718], [11.343667062652008, 44.49320461444862], [11.343672062675221, 44.49322861458938], [11.343777066250857, 44.49321459367281], [11.343873069540756, 44.49319857432757], [11.343961072559939, 44.4931835565149], [11.344048075553374, 44.49316753878093], [11.344113077791073, 44.49315552548714], [11.344233081885855, 44.49313950121361], [11.344345085709879, 44.49312447847469], [11.34444108899627, 44.493110458849856], [11.344491089793138, 44.49324645790702]]]]}",,46,4000/343434,A,450,9349,VIA DE' MUSEI,,,,,,,,,,,,,20,Aree Pedonali
49,"44.4921907684, 11.3453151011","{""type"": ""MultiPolygon"", ""coordinates"": [[[[11.345443122657901, 44.49306925945085], [11.345485124126984, 44.49305925032494], [11.34545212369482, 44.49296224837731], [11.34542212330468, 44.49287324666358], [11.345363122529092, 44.49269824365347], [11.34553012832898, 44.49266920685978], [11.345988144321755, 44.4925811039701], [11.346024145559646, 44.49257709609621], [11.346099148143892, 44.492568079603124], [11.346091148070045, 44.49254107852221], [11.346056146857748, 44.49254608632441], [11.34605014681445, 44.49252408535956], [11.345988144665693, 44.492533099205154], [11.345983144626556, 44.49251509846383], [11.345976144605979, 44.49248509695776], [11.345950144174427, 44.49242309631186], [11.34580113906574, 44.49243612901859], [11.345799138263427, 44.49254013931353], [11.345345122601927, 44.49259923897465], [11.345325122435119, 44.4925252368979], [11.345286122082975, 44.492384233318006], [11.345269121944938, 44.49232023162641], [11.345258121831861, 44.49228223083995], [11.345226121191315, 44.492166244468336], [11.345234121487161, 44.49215824342681], [11.345275122862859, 44.49215923476814], [11.345267123082543, 44.492011248445245], [11.345247122442906, 44.49200225320012], [11.345237122128227, 44.49199625569002], [11.345220121592895, 44.49198625989312], [11.34520212102786, 44.49197526435656], [11.345190120657048, 44.49196626744962], [11.345156119896663, 44.4918562825285], [11.34509511859644, 44.49164630954094], [11.345108119148115, 44.49161130971553], [11.34542012954227, 44.491585255456755], [11.345415129502955, 44.49154525990257], [11.34486511155257, 44.49149436086752], [11.344962113734884, 44.49177332556827], [11.345045115816756, 44.491964296504285], [11.34517611923046, 44.4922482486788], [11.345203119597574, 44.492338247185295], [11.345214119711413, 44.49237624793788], [11.345273120381318, 44.49257025148838], [11.345186117377716, 44.492582270541156], [11.345242118086002, 44.49275527312997], [11.345270119057895, 44.49275026701525], [11.34527211908413, 44.49275626710486], [11.345328121034992, 44.49274525477923], [11.34539412199135, 44.49292825699884], [11.345443122657901, 44.49306925945085]]]]}",,42,4000/343434,A,2480,1173,PIAZZA MINGHETTI,6480,VIA DE' TOSCHI,8941,VIA DE' TOSCHI,6478,VIA DE' TOSCHI,8940,VIA DE' TOSCHI,1134,PIAZZA MINGHETTI,,,21,Aree Pedonali
50,"44.4929300514, 11.3406480315","{""type"": ""MultiPolygon"", ""coordinates"": [[[[11.340542970267588, 44.493005724588365], [11.340781156311936, 44.49305157495544], [11.340722976156194, 44.49288972108175], [11.340709975973269, 44.492854719953925], [11.340653975186322, 44.49270371508844], [11.34062697445036, 44.492694714774046], [11.340674974909493, 44.49286272017242], [11.34050996998245, 44.49288472070206], [11.340542970267588, 44.493005724588365]]]]}",,73,4000/343434,A,264,1086,VIA DE' GARGIOLARI,,,,,,,,,,,,,24,Aree Pedonali
51,"44.4922390145, 11.3415643122","{""type"": ""MultiPolygon"", ""coordinates"": [[[[11.341339997168106, 44.49234570439413], [11.34141899963732, 44.4923157035196], [11.341541003297532, 44.49229670303949], [11.34187001311684, 44.492254702038714], [11.341831012559565, 44.49215169871836], [11.34127399597942, 44.49221470015501], [11.341293996175473, 44.49228370237232], [11.341339997168106, 44.49234570439413]]]]}",,74,4000/343434,A,563,1095,PIAZZA DE' CELESTINI,,,,,,,,,,,,,25,Aree Pedonali
52,"44.489849926, 11.3441505299","{""type"": ""MultiPolygon"", ""coordinates"": [[[[11.343938088013942, 44.49001254321685], [11.343978088754245, 44.490122537531256], [11.344050091075335, 44.49011053016958], [11.344519106079387, 44.490049483636064], [11.344612109003021, 44.49004847422613], [11.345017121902623, 44.489996436615776], [11.34511112489344, 44.489983428261816], [11.345100124858579, 44.48989443580403], [11.345086124417874, 44.48989543704521], [11.345065124219254, 44.48976544822083], [11.344984121808887, 44.48973545728548], [11.344944120610217, 44.489723461488495], [11.34492011996053, 44.48969746517908], [11.344895119181334, 44.48969846721063], [11.344902119239794, 44.48974146393661], [11.344902119121718, 44.489773461936664], [11.344891118705574, 44.489793461661776], [11.344860117681042, 44.48980946344394], [11.344827116638378, 44.489813466161344], [11.344796115695758, 44.489807469283456], [11.344774115060494, 44.48979447197696], [11.3446341106198, 44.48981548336858], [11.344630110570824, 44.48979648465164], [11.34458210907279, 44.48979748886772], [11.344538107768464, 44.48978149348014], [11.344518107232341, 44.48976049614212], [11.34447010570698, 44.48976849999256], [11.344463105622323, 44.4897365018879], [11.344337101627069, 44.489755512050934], [11.344333101567162, 44.48974051290013], [11.344295100360656, 44.48974651597667], [11.344302100478624, 44.48976951463898], [11.344226098066802, 44.48978052097478], [11.34422109799071, 44.48976252191473], [11.344159096022874, 44.489771527091314], [11.344165096106586, 44.489794525992856], [11.34408809366001, 44.489805532591674], [11.34408209357354, 44.48978353358248], [11.344042092301466, 44.489789536996085], [11.344011091837576, 44.48968154158189], [11.34402309221886, 44.48967954062201], [11.34397209148455, 44.48949854757721], [11.34396509126889, 44.489498548092456], [11.343963091235398, 44.48949254832744], [11.343408073691563, 44.48957759017352], [11.343584076583504, 44.49007757885709], [11.343938088013942, 44.49001254321685]]]]}",,20,4000/343434,A,5050,4369,PIAZZA S.DOMENICO,1072,PIAZZA S.DOMENICO,1066,VIA GAROFALO,4370,PIAZZA S.DOMENICO,1061,PIAZZA S.DOMENICO,1071,VIA ROLANDINO,8951,PIAZZA S.DOMENICO,31,Aree Pedonali
53,"44.4953220452, 11.3449415722","{""type"": ""MultiPolygon"", ""coordinates"": [[[[11.344668076843238, 44.49573429843301], [11.344742177134416, 44.49572285399612], [11.344716078655306, 44.49568728864405], [11.344707078569451, 44.495656287705366], [11.344684078226276, 44.495596286697676], [11.344675078101284, 44.49557128621539], [11.344665077919023, 44.495550286158704], [11.344651077660954, 44.49552128612298], [11.344634077352007, 44.495485286051036], [11.344620077118341, 44.49545228578527], [11.344610076922201, 44.4954332859177], [11.344597076687803, 44.49540528588059], [11.344584076465656, 44.49537528572611], [11.344572076300045, 44.49534128517812], [11.344543075789995, 44.495276285066154], [11.344611078030326, 44.49526327427061], [11.344687080525574, 44.49525026226315], [11.344802084311775, 44.495229243911965], [11.344911087896886, 44.495210226483266], [11.344919087943293, 44.49524222769632], [11.344954088227853, 44.49536923215951], [11.3449790885047, 44.4954482345807], [11.345019088952542, 44.4955732385352], [11.345045089255615, 44.49565224105399], [11.345101091074564, 44.49564423273971], [11.345048090543996, 44.49547022650069], [11.3450140901945, 44.495359222769], [11.344962089386856, 44.4952302204837], [11.345111094231084, 44.49521319725338], [11.345256098950832, 44.49519617449728], [11.3455711092407, 44.49515512430648], [11.345554109095788, 44.495097121652655], [11.345442105422777, 44.49511313983295], [11.345323101528923, 44.495129158975324], [11.34525809941447, 44.495136169250756], [11.345176096746561, 44.495145182197454], [11.345090093952214, 44.49515419570473], [11.344988090643447, 44.495164211627404], [11.344918088365956, 44.49517222261258], [11.344663080094273, 44.49519826219598], [11.344642079414278, 44.495200265432544], [11.34462307879154, 44.49520326844012], [11.344526075615196, 44.49521828373298], [11.344513075195959, 44.49521928571138], [11.344497074675171, 44.49522128819552], [11.34450407460252, 44.49526829023132], [11.34453507504527, 44.495354291375385], [11.344566075472644, 44.49544229277507], [11.344648076575316, 44.49567729723338], [11.344657076693801, 44.49570329779082], [11.344668076843238, 44.49573429843301]]]]}",,31,4000/343434,A,969,1334,VIA DEGLI ALBARI,1319,VIA ALTABELLA,1285,VIA ALTABELLA,,,,,,,,,39,Aree Pedonali
54,"44.4990425631, 11.3430849398","{""type"": ""MultiPolygon"", ""coordinates"": [[[[11.342366304373321, 44.49899881488969], [11.342393989882082, 44.499092920476144], [11.342586995583012, 44.499072920064066], [11.34277200099042, 44.49906391999311], [11.342785001219971, 44.499089920836994], [11.343080009816173, 44.4990869192987], [11.343131011359247, 44.49908691621998], [11.34347302163067, 44.49909989611086], [11.343699028413319, 44.49910888294963], [11.34368827597549, 44.49898962796582], [11.34324506025917, 44.49899425968492], [11.342986197058103, 44.498995087600726], [11.34248588414158, 44.49900086082723], [11.342366304373321, 44.49899881488969]]]]}",,83,4000/343434,A,785,3043,VIA DE' FALEGNAMI,,,,,,,,,,,,,,Aree Pedonali
55,"44.5000290726, 11.3431496372","{""type"": ""MultiPolygon"", ""coordinates"": [[[[11.34289728361979, 44.49992868849006], [11.343035355840628, 44.50019593235034], [11.343303010340371, 44.50016294616668], [11.343403426207832, 44.50012083852933], [11.343238283694934, 44.499845153723456], [11.343084642797987, 44.49988571682204], [11.34289728361979, 44.49992868849006]]]]}",,,4000/343434,A,785,,VIA SAN GIUSEPPE,,,,,,,,,,,,,,Aree Pedonali
27,"44.4950030871, 11.3441800141","{""type"": ""MultiPolygon"", ""coordinates"": [[[[11.344235068522849, 44.49528662760143], [11.344288070316502, 44.49527261904514], [11.344273070153665, 44.4952216181769], [11.344266070066107, 44.495199617891245], [11.344243069825602, 44.49511961654562], [11.344220069570682, 44.495041615401824], [11.344203069389474, 44.49498261453073], [11.344168069003988, 44.494862612966756], [11.344131068580205, 44.494737611628175], [11.34414306908776, 44.49471860864893], [11.344074066735706, 44.49473662058539], [11.34410906709221, 44.494862622126405], [11.344145067488887, 44.49498662360337], [11.344165067725221, 44.49505262434649], [11.344187067974891, 44.49512662531498], [11.344206068188585, 44.49519062621687], [11.344235068522849, 44.49528662760143]]]]}",,33,4000/343434,A,284,1282,VIA CADUTI DI CEFALONIA,,,,,,,,,,,,,43,Aree Pedonali
28,"44.4954347058, 11.3436456977","{""type"": ""MultiPolygon"", ""coordinates"": [[[[11.342957026000484, 44.4955858093384], [11.343015027730825, 44.49557780914616], [11.343076029628769, 44.49556880540924], [11.343142031794361, 44.49555979592654], [11.343212034094469, 44.495549785823194], [11.343331038012103, 44.495531768535365], [11.343399040244272, 44.495522758663704], [11.34351504406324, 44.49550574168891], [11.343606047058591, 44.49549272832404], [11.343652048575747, 44.49548572152793], [11.343672049235224, 44.49548271857049], [11.343775052599733, 44.49547270356039], [11.343766052545412, 44.495433702948446], [11.34380705391607, 44.4954246966774], [11.34392805793562, 44.49540267830861], [11.344076062856423, 44.495375655669825], [11.34419906695891, 44.49535163662465], [11.344347071893747, 44.495323613582904], [11.344496076871456, 44.49529459014053], [11.344489076946394, 44.495247588108796], [11.344288070316502, 44.49527261904514], [11.344235068522849, 44.49528662760143], [11.344178066613722, 44.49529863658901], [11.34405406246363, 44.495324656026675], [11.343909057617408, 44.495354678547606], [11.343867056218702, 44.49536268499875], [11.343847055539511, 44.49536868817512], [11.343810054277913, 44.495380694081284], [11.343608047537808, 44.49542272491607], [11.343559045869847, 44.49543873259011], [11.34350804419141, 44.495445740130215], [11.34344804222447, 44.49545274892927], [11.343392040386338, 44.49545975714288], [11.343348038939485, 44.495465763603086], [11.343239035361364, 44.49547977952339], [11.343182033492704, 44.49548678780957], [11.343138032052803, 44.495491794179735], [11.343084030281085, 44.49549880201202], [11.343042028932686, 44.49550380681629], [11.342952026255507, 44.49551480706965], [11.34287002381082, 44.4955258073316], [11.34289202405551, 44.495595809586824], [11.342957026000484, 44.4955858093384]]]]}",,7,4000/343434,A,880,1280,VIA ALTABELLA,1318,VIA ALTABELLA,1265,VIA ALTABELLA,,,,,,,,,44,Aree Pedonali
29,"44.4957914943, 11.3413693039","{""type"": ""MultiPolygon"", ""coordinates"": [[[[11.341912996856832, 44.49537380145393], [11.341986999142087, 44.49534980076908], [11.342035941270575, 44.4954476736402], [11.341745819941844, 44.49555903444166], [11.341442756422353, 44.49559718880713], [11.341190471700365, 44.495628950325795], [11.341178785231543, 44.495494150265536], [11.341129687303464, 44.495171062106834], [11.341036104637128, 44.49520396974418], [11.341095826695865, 44.49548455442145], [11.341092151132978, 44.49556144954764], [11.34109699877691, 44.49564262607747], [11.340780606912865, 44.495676747755766], [11.34069695984324, 44.49567380969366], [11.340963753156059, 44.49649652104929], [11.341107048630663, 44.49650713424572], [11.340908232335229, 44.495755869286576], [11.341007559553852, 44.495741001010316], [11.341107828292781, 44.495717702080526], [11.341172237361267, 44.49601636687895], [11.341378299725902, 44.4959820238757], [11.341448858620662, 44.49612766112483], [11.341474479588529, 44.49621119308011], [11.341613356193701, 44.496520201338754], [11.341679067897553, 44.49650083563079], [11.341516210780139, 44.49606789646019], [11.34146362828107, 44.49589342387668], [11.341236918916918, 44.495925084859486], [11.341185318240615, 44.49569657603636], [11.3416099864701, 44.495655810110044], [11.34164098739321, 44.49565181001623], [11.341683988681803, 44.49564480983982], [11.341723989877638, 44.49563880969204], [11.341791991915064, 44.495627809415254], [11.341785991813701, 44.49561480899464], [11.341942996599933, 44.49557480789024], [11.342107001595462, 44.49553380676134], [11.342195004281738, 44.49551080612363], [11.342251005982037, 44.495497805769936], [11.342280006847195, 44.49549380567381], [11.342382009889821, 44.4954798053379], [11.342475012654115, 44.495468805087874], [11.342581015790575, 44.49545880488368], [11.34258001578966, 44.495453804723226], [11.342603016469267, 44.49545180468432], [11.342620016952, 44.495453804766434], [11.342666867071829, 44.49544706322641], [11.342642194302279, 44.4953740346544], [11.342558822406867, 44.495387613864104], [11.342415925131817, 44.495410236944394], [11.342228852350198, 44.49545008867949], [11.342108069187523, 44.49545706984158], [11.34204587972287, 44.495278293418345], [11.341941707085947, 44.49530744003636], [11.341811196922572, 44.49507154874304], [11.341761106891932, 44.49507707831756], [11.341776994122378, 44.495156794394084], [11.341816994779846, 44.495246797304354], [11.341832995272926, 44.4952417971623], [11.341912996856832, 44.49537380145393]]]]}",,27,4000/343434,A,952,4375,VICOLO GHIRLANDA,1328,VIA MONTE GRAPPA,1241,VIA MONTE GRAPPA,,,,,,,,,,Aree Pedonali
30,"44.4964639083, 11.342276165","{""type"": ""MultiPolygon"", ""coordinates"": [[[[11.3416939725741, 44.49654138857978], [11.341707983778079, 44.496642841654364], [11.341768985576932, 44.49663784156248], [11.342314002028754, 44.49652583859577], [11.34252092791574, 44.4964613919729], [11.342583226465422, 44.49644660870727], [11.342973082063525, 44.49638126297526], [11.34294514081334, 44.49628295092027], [11.341884315405672, 44.496471906059234], [11.341679067897553, 44.49650083563079], [11.3416939725741, 44.49654138857978]]]]}",,,4000/343434,A,733,,VIA MANZONI,,,,,,,,,,,,,,Aree Pedonali
31,"44.4989499762, 11.3419741668","{""type"": ""MultiPolygon"", ""coordinates"": [[[[11.341836375729006, 44.49910128852662], [11.341830991018107, 44.4990424398291], [11.342226985846468, 44.49895091575725], [11.342168856744768, 44.49885804490371], [11.341917977477467, 44.49884791211701], [11.341864975993099, 44.49883891176883], [11.341907663830264, 44.49895622287873], [11.341741971577092, 44.49899091646666], [11.341747971161052, 44.49909591981749], [11.341836375729006, 44.49910128852662]]]]}",,23,4000/343434,A,545,4637,VIA AVESELLA,2988,VIA AVESELLA,,,,,,,,,,,,Aree Pedonali
32,"44.5003593531, 11.3376718265","{""type"": ""MultiPolygon"", ""coordinates"": [[[[11.33729162395603, 44.50082964635723], [11.337575817469025, 44.50059513743353], [11.337828001979549, 44.500326497483144], [11.33797862991487, 44.500196455006716], [11.337940705850102, 44.50004268368402], [11.337777981554959, 44.49990325438669], [11.337718878119063, 44.50029551137221], [11.337244895560193, 44.5007369129363], [11.33729162395603, 44.50082964635723]]]]}",,,,,,,,,,,,,,,,,,,,,Aree Pedonali
33,"44.4943196189, 11.3371497626","{""type"": ""MultiPolygon"", ""coordinates"": [[[[11.336898856592915, 44.49438476465564], [11.33741287194231, 44.494311762874226], [11.337426872663043, 44.49425476107807], [11.336879856363952, 44.49432576276233], [11.336897856585775, 44.49438076452761], [11.336898856592915, 44.49438476465564]]]]}",,71,4000/343434,A,275,974,VIA PORTANOVA,,,,,,,,,,,,,,Aree Pedonali
34,"44.4879459827, 11.3569621097","{""type"": ""MultiPolygon"", ""coordinates"": [[[[11.357205489475001, 44.48809838261322], [11.35705248507188, 44.488090380984545], [11.357091487516074, 44.48782338696633], [11.35706748710348, 44.487765387907686], [11.3570564869998, 44.48772138870391], [11.357054487182248, 44.48767238970169], [11.357074487994549, 44.48762539088705], [11.357098488825075, 44.487598391694554], [11.357127489850273, 44.48756139275545], [11.357140490828273, 44.48743939539577], [11.356828481868428, 44.48741539283378], [11.356819481303452, 44.48747739141478], [11.356803480275936, 44.48759238878148], [11.356785479122209, 44.487721385814616], [11.3567784784937, 44.48780838386232], [11.356750476249324, 44.488101377209944], [11.356748475522322, 44.488238374218], [11.356777476271166, 44.48825737415964], [11.356862479466047, 44.48831432674959], [11.356952483055343, 44.48837426694063], [11.357069487610488, 44.48844619587574], [11.35717549078403, 44.48845319081573], [11.357390497134038, 44.48846218592861], [11.357385496701948, 44.48844420385789], [11.357366496137347, 44.488443204502], [11.357286493763132, 44.48843920701813], [11.35715948999863, 44.4884332107084], [11.357170489039067, 44.48835429066717], [11.357176488582397, 44.488315330124365], [11.357181488097106, 44.48827636955148], [11.357184488102456, 44.48825337920028], [11.357187488307641, 44.48822937972689], [11.357205489475001, 44.48809838261322]]]]}",,26,4000/343434,A,2872,,,,,,,,,,,,,,,,Aree Pedonali
35,"44.4980074773, 11.3476773607","{""type"": ""MultiPolygon"", ""coordinates"": [[[[11.347031134842588, 44.49837059461743], [11.347126139188772, 44.49831553313639], [11.347211143265737, 44.498274467357405], [11.34734814983216, 44.49821136083751], [11.347503157279448, 44.49814123919386], [11.347650164383694, 44.49807312230169], [11.347729168225532, 44.49803505872024], [11.347882175728408, 44.497956933735374], [11.348060184491908, 44.49786678656182], [11.348207191805761, 44.49778766258182], [11.348306196916665, 44.49771657469238], [11.348427463241629, 44.49762141524224], [11.348435444274417, 44.49758522790573], [11.34838323907705, 44.497577338130526], [11.348293196903894, 44.49765557226185], [11.34816519047259, 44.497727682359276], [11.347908177659136, 44.49786989943819], [11.347673166131583, 44.49798809198863], [11.347623764975593, 44.498007721736464], [11.347426102850825, 44.49809746907931], [11.347233399746536, 44.49818541744274], [11.346940352581589, 44.498294153676795], [11.347031134842588, 44.49837059461743]]]]}",,81,4000/343434,P,3429,4641,VIA DEL BORGO DI S.PIETRO,3053,VIA DELLE MOLINE,1453,VIA DELLE MOLINE,,,,,,,,,,Aree Pedonali
36,"44.4967762678, 11.3507769456","{""type"": ""MultiPolygon"", ""coordinates"": [[[[11.350456809723052, 44.497113489028365], [11.350527304454953, 44.49710270306145], [11.350850324044297, 44.49673131461444], [11.351081338795659, 44.496466002129154], [11.351028336039539, 44.496446064048634], [11.350999334186223, 44.496484102183366], [11.350993333932303, 44.49648210640356], [11.35086832615791, 44.49663226413371], [11.350800322009357, 44.496709347293674], [11.350544306431917, 44.497006656848605], [11.350456809723052, 44.497113489028365]]]]}",,,4000/343434,A,389,,VIA DEL GUASTO,,,,,,,,,,,,,,Aree Pedonali
37,"44.4967749141, 11.3495712077","{""type"": ""MultiPolygon"", ""coordinates"": [[[[11.348475200575262, 44.49751006345768], [11.348546115103177, 44.49752727580683], [11.348819466490516, 44.497318349922004], [11.349010436908717, 44.49715540026517], [11.349010436908717, 44.49715540026517], [11.349037235376668, 44.49717989526217], [11.349179087186887, 44.49707409296964], [11.349129662984723, 44.497057140731606], [11.34933725191684, 44.49691859116198], [11.349373253282536, 44.496945569619385], [11.349558263102312, 44.49682838937651], [11.35019529666465, 44.49648376658832], [11.350296211972394, 44.49638830339159], [11.350382308080166, 44.4962605402224], [11.350394483475194, 44.49625792471225], [11.350419484889834, 44.496209903549435], [11.350319305556706, 44.49617859257059], [11.349838279043688, 44.4965670864154], [11.34967927062352, 44.496657242875706], [11.34947225972241, 44.49677444380389], [11.349299250693011, 44.49686960864157], [11.349042237208264, 44.49702585333953], [11.34898323395064, 44.497078912975724], [11.348838226004096, 44.49720705732832], [11.348697218409937, 44.497323193538], [11.348475200575262, 44.49751006345768]]]]}",,,4000/343434,A,1856,,LARGO RESPIGHI,,VIA DE' CASTAGNOLI,,,,,,,,,,,,Aree Pedonali
38,"44.50338264, 11.3443524991","{""type"": ""MultiPolygon"", ""coordinates"": [[[[11.344076020445236, 44.50296203943711], [11.344086020694698, 44.50297503989473], [11.344101021012927, 44.50301204134252], [11.34416302236729, 44.50315204686436], [11.344244024130962, 44.50333505431393], [11.344295025209888, 44.50345905953366], [11.34430502523134, 44.50354206321506], [11.344384026574131, 44.503833076123506], [11.344584032464883, 44.50380007403378], [11.344501031220762, 44.50344705775405], [11.344442029970336, 44.50330605158399], [11.344374028519983, 44.50314504472415], [11.344287026654582, 44.50294003627417], [11.344076020445236, 44.50296203943711]]]]}",,84,4000/343434,A,1631,6470,VIA GALLIERA,,,,,,,,,,,,,,Aree Pedonali
56,"44.5018624886, 11.3350681676","{""type"": ""MultiPolygon"", ""coordinates"": [[[[11.335701675124396, 44.50161759906752], [11.33561278604445, 44.50153733463849], [11.335280870550362, 44.50174349094594], [11.33498054999554, 44.50187726026044], [11.334882584406815, 44.501929886206426], [11.33487794988258, 44.50193019517471], [11.33441044954987, 44.50198102061014], [11.334409627726105, 44.50204268502722], [11.334688409960366, 44.50207164521549], [11.334845012004877, 44.5020367079069], [11.334963758830801, 44.502008307152224], [11.335169804600985, 44.50191055507405], [11.335701675124396, 44.50161759906752]]]]}",,,,,,,,,,,,,,,,,,,,,Aree Pedonali
57,"44.4962140191, 11.3382309966","{""type"": ""MultiPolygon"", ""coordinates"": [[[[11.337686214710438, 44.495787427874276], [11.337833506744557, 44.49610761005304], [11.33791387532752, 44.49633982784629], [11.337970643103976, 44.49636629956058], [11.338087929093536, 44.496454372143596], [11.338635896181883, 44.49635782920929], [11.338641896245539, 44.496377829851276], [11.339190912612242, 44.496299827974454], [11.33919436966617, 44.49625742979814], [11.338702909590273, 44.49630598358268], [11.338666660618667, 44.49620632906253], [11.338504967043603, 44.49624150416654], [11.338496892550838, 44.496284826737956], [11.338442890922886, 44.49629582702827], [11.338439890874438, 44.49628882680263], [11.338279886054286, 44.49632082764388], [11.338282886102753, 44.49632782786949], [11.338231110165582, 44.49633005015953], [11.338217099647785, 44.496297063502865], [11.33805120295315, 44.49632874105338], [11.33793026311392, 44.4960075470779], [11.337794126262223, 44.49572966109193], [11.337686214710438, 44.495787427874276]]]]}",,3,4000/343434,A,1476,1002,VIA BELVEDERE,1004,VIA S.GERVASIO,,,,,,,,,,,,Aree Pedonali
58,"44.4943141955, 11.337164931","{""type"": ""MultiPolygon"", ""coordinates"": [[[[11.336893906994586, 44.494315404292756], [11.336917503546319, 44.494380568319464], [11.337427114270294, 44.49431226757562], [11.337434660739403, 44.494248077020295], [11.336893906994586, 44.494315404292756]]]]}",,71,4000/343434,A,275,974,VIA PORTANOVA,,,,,,,,,,,,,,Aree Pedonali
59,"44.4961811343, 11.3508290551","{""type"": ""MultiPolygon"", ""coordinates"": [[[[11.350618930289796, 44.496005237053744], [11.350484313494373, 44.49614045441383], [11.350485313452992, 44.49615745359586], [11.35049431381801, 44.49616844607699], [11.350999335798006, 44.49636105658501], [11.351025337344696, 44.49633602557616], [11.351178742159384, 44.496232873143505], [11.351105347419946, 44.496157892046405], [11.350618930289796, 44.496005237053744]]]]}",,,4000/343434,A,885,,PIAZZA GIUSEPPE VERDI,,,,,,,,,,,,,,Aree Pedonali
60,"44.4966511982, 11.3516885718","{""type"": ""MultiPolygon"", ""coordinates"": [[[[11.350407309506423, 44.496212519038814], [11.351028336039539, 44.496446064048634], [11.351081338795659, 44.496466002129154], [11.351325353372587, 44.49656062774026], [11.351456361214998, 44.4966114259498], [11.35162737146367, 44.49667816186843], [11.351963391666082, 44.496808640013576], [11.352078398595735, 44.49685346062687], [11.352897448217986, 44.4971711703556], [11.353005454818435, 44.49721099800326], [11.353045457962878, 44.49716491633172], [11.353092637534417, 44.4971509488989], [11.352741167810247, 44.49701755389362], [11.352449889467334, 44.49690598170783], [11.352061015531667, 44.496757021651405], [11.351539831315435, 44.49655485751], [11.351403457770578, 44.496473515996534], [11.35106478428114, 44.49631993583683], [11.35049431381801, 44.49616844607699], [11.350485313452992, 44.49615745359586], [11.350484313494373, 44.49614045441383], [11.350407309506423, 44.496212519038814]]]]}",,,4000/343434,P,1727,,VIA ZAMBONI,,,,,,,,,,,,,,Aree Pedonali
61,"44.5042072154, 11.3384273934","{""type"": ""MultiPolygon"", ""coordinates"": [[[[11.33804184159481, 44.50454109757908], [11.338246847181333, 44.504652101705354], [11.338857867260186, 44.50379607306332], [11.338502856846977, 44.50385807472945], [11.338347851602464, 44.5041280836906], [11.33804184159481, 44.50454109757908]]]]}",,,,A,1934,,VIA CAIROLI,,,,,,,,,,,,,,Aree Pedonali
62,"44.494418987, 11.3565825873","{""type"": ""MultiPolygon"", ""coordinates"": [[[[11.356565563520443, 44.4948123028064], [11.356610170746192, 44.4946913138468], [11.356650352210542, 44.49429531696508], [11.3566406225541, 44.494110960590504], [11.356513696165933, 44.4940619669566], [11.3565756451011, 44.49446539390216], [11.356539804667136, 44.494495351297545], [11.356512147174106, 44.49481953747614], [11.356565563520443, 44.4948123028064]]]]}",,,,,,,,,,,,,,,,,,,,,Aree Pedonali
